address,city,constraints_date,eviction_id,file_date,state,supervisor_district,zip,eviction_reason,latitude,longitude
600 Block Of Guerrero  Street,San Francisco,,M181705,2018-06-11T00:00:00.000,CA,8.0,94110.0,Non-payment,-122.416017227272,37.773939264637
2300 Block Of Mission  Street,San Francisco,,M181680,2018-06-01T00:00:00.000,CA,9.0,94110.0,Nuisance,-122.416017227272,37.773939264637
100 Block Of Font  Boulevard,San Francisco,,M181789,2018-06-14T00:00:00.000,CA,7.0,94132.0,Breach,-122.416017227272,37.773939264637
500 Block Of Filbert  Street,San Francisco,,M181677,2018-05-30T00:00:00.000,CA,3.0,94133.0,Demolition,-122.416017227272,37.773939264637
100 Block Of Turk  Street,San Francisco,,M181782,2018-06-13T00:00:00.000,CA,6.0,94102.0,Nuisance,-122.416017227272,37.773939264637
400 Block Of Eddy  Street,San Francisco,,M181784,2018-06-14T00:00:00.000,CA,6.0,94109.0,Nuisance,-122.416017227272,37.773939264637
200 Block Of Golden Gate  Avenue,San Francisco,,M181807,2018-06-20T00:00:00.000,CA,6.0,94102.0,Late Payments,-122.416017227272,37.773939264637
1300 Block Of Market  Street,San Francisco,,M181696,2018-06-08T00:00:00.000,CA,6.0,94102.0,Capital Improvement,-122.416017227272,37.773939264637
100 Block Of Albion  Street,San Francisco,,M181744,2018-06-05T00:00:00.000,CA,8.0,94110.0,Ellis Act Withdrawal,-122.416017227272,37.773939264637
1800 Block Of Pacific  Avenue,San Francisco,,M181672,2018-06-01T00:00:00.000,CA,2.0,94109.0,Capital Improvement,-122.416017227272,37.773939264637
0 Block Of 28th  Street,San Francisco,,M181818,2018-06-21T00:00:00.000,CA,8.0,94110.0,Capital Improvement,-122.416017227272,37.773939264637
1300 Block Of Market  Street,San Francisco,,M181793,2018-06-15T00:00:00.000,CA,6.0,94102.0,Capital Improvement,-122.416017227272,37.773939264637
1400 Block Of Jackson  Street,San Francisco,,M2K0213,2000-02-08T00:00:00.000,CA,3.0,94109.0,Demolition,-122.416017227272,37.773939264637
4700 Block Of 17th  Street,San Francisco,,M181893,2018-06-22T00:00:00.000,CA,5.0,94117.0,Roommate Same Unit,-122.416017227272,37.773939264637
200 Block Of Leavenworth  Street,San Francisco,,M181815,2018-06-21T00:00:00.000,CA,6.0,94102.0,Unapproved Subtenant,-122.416017227272,37.773939264637
1300 Block Of Market  Street,San Francisco,,M181909,2018-06-25T00:00:00.000,CA,6.0,94102.0,Capital Improvement,-122.416017227272,37.773939264637
700 Block Of Vienna  Street,San Francisco,,M182026,2018-07-05T00:00:00.000,CA,11.0,94112.0,Breach,-122.416017227272,37.773939264637
1300 Block Of Market  Street,San Francisco,,M182034,2018-07-09T00:00:00.000,CA,6.0,94102.0,Capital Improvement,-122.416017227272,37.773939264637
900 Block Of Hampshire  Street,San Francisco,,M182028,2018-07-06T00:00:00.000,CA,9.0,94110.0,Breach,-122.416017227272,37.773939264637
1300 Block Of Market  Street,San Francisco,,M182035,2018-07-09T00:00:00.000,CA,6.0,94102.0,Capital Improvement,-122.416017227272,37.773939264637
400 Block Of 27th  Street,San Francisco,,M181975,2018-06-29T00:00:00.000,CA,8.0,94131.0,Ellis Act Withdrawal,-122.416017227272,37.773939264637
300 Block Of 23rd  Avenue,San Francisco,,M182016,2018-07-02T00:00:00.000,CA,1.0,94121.0,nan,-122.416017227272,37.773939264637
1200 Block Of 20th  Avenue,San Francisco,,M181998,2018-07-02T00:00:00.000,CA,4.0,94122.0,Capital Improvement,-122.416017227272,37.773939264637
400 Block Of 27th  Street,San Francisco,,M181976,2018-06-29T00:00:00.000,CA,8.0,94131.0,Ellis Act Withdrawal,-122.416017227272,37.773939264637
200 Block Of Carl  Street,San Francisco,2023-07-30T00:00:00.000,M181946,2018-06-29T00:00:00.000,CA,5.0,94117.0,Owner Move In,-122.416017227272,37.773939264637
1300 Block Of Market  Street,San Francisco,,M181996,2018-07-02T00:00:00.000,CA,6.0,94102.0,Capital Improvement,-122.416017227272,37.773939264637
600 Block Of South Van Ness  Avenue,San Francisco,,M180416,2018-02-05T00:00:00.000,CA,9.0,94110.0,Owner Move In,-122.416017227272,37.773939264637
400 Block Of 27th  Street,San Francisco,,M181977,2018-06-29T00:00:00.000,CA,8.0,94131.0,Ellis Act Withdrawal,-122.416017227272,37.773939264637
1300 Block Of Grant  Avenue,San Francisco,,M182046,2018-07-09T00:00:00.000,CA,3.0,94133.0,Unapproved Subtenant,-122.416017227272,37.773939264637
3600 Block Of 26th  Street,San Francisco,,M182047,2018-07-09T00:00:00.000,CA,8.0,94110.0,Nuisance,-122.416017227272,37.773939264637
1300 Block Of Grove  Street,San Francisco,,M131788,2013-09-09T00:00:00.000,CA,5.0,94117.0,Late Payments,-122.416017227272,37.773939264637
1300 Block Of Grant  Avenue,San Francisco,,M182042,2018-07-09T00:00:00.000,CA,3.0,94133.0,Unapproved Subtenant,-122.416017227272,37.773939264637
1300 Block Of Market  Street,San Francisco,,M182032,2018-07-09T00:00:00.000,CA,6.0,94102.0,Capital Improvement,-122.416017227272,37.773939264637
2000 Block Of Ocean  Avenue,San Francisco,,M182009,2018-07-05T00:00:00.000,CA,7.0,94127.0,Ellis Act Withdrawal,-122.416017227272,37.773939264637
100 Block Of Highland  Avenue,San Francisco,,M182030,2018-07-06T00:00:00.000,CA,9.0,94110.0,Late Payments,-122.416017227272,37.773939264637
1300 Block Of Market  Street,San Francisco,,M182033,2018-07-09T00:00:00.000,CA,6.0,94102.0,Capital Improvement,-122.416017227272,37.773939264637
1200 Block Of 20th  Avenue,San Francisco,,M182000,2018-07-02T00:00:00.000,CA,4.0,94122.0,Capital Improvement,-122.416017227272,37.773939264637
2800 Block Of Anza  Street,San Francisco,,M182043,2018-07-09T00:00:00.000,CA,1.0,94121.0,Nuisance,-122.416017227272,37.773939264637
2100 Block Of Taylor  Street,San Francisco,,M182031,2018-07-06T00:00:00.000,CA,3.0,94133.0,Breach,-122.416017227272,37.773939264637
